User_id,Coupon_id,Date_received,Probability
4129537,9983,20160712,0.00094215584
6949378,3429,20160706,0.0060022105
2166529,6928,20160727,0.065635465
2166529,1808,20160727,0.0651658
6172162,6500,20160708,0.5246804
4005121,9983,20160706,0.0021591687
4347394,9983,20160716,0.008051946
3094273,13602,20160727,0.15471439
5139970,9983,20160729,0.004771299
3237121,13602,20160703,0.010843859
6224386,9983,20160716,0.00050479814
6488578,13602,20160712,0.077801414
4164865,9983,20160703,0.0020965212
4164865,8059,20160706,3.327037e-05
5468674,9983,20160713,0.00088458275
6258178,9144,20160706,0.003040257
3659521,7341,20160727,0.0013590533
3659521,13181,20160717,0.00012863972
3659521,13602,20160718,0.3499309
7333378,13602,20160704,0.096138336
7333378,785,20160727,0.025775405
4454914,2978,20160711,0.7360696
6817282,8375,20160724,0.010373805
3149569,10418,20160721,0.00832227
6301186,1715,20160718,0.017523887
6301186,4203,20160708,0.5035013
2891521,13602,20160724,0.51629114
3422977,13602,20160727,0.53271186
4771330,13602,20160726,0.42854804
4513282,11799,20160712,0.00021010495
3439873,13602,20160713,0.0356204
6632962,13602,20160727,0.1728337
6632962,10438,20160705,0.00053158967
6912514,9934,20160724,0.0071048765
2821891,10418,20160702,0.0018106694
3872515,10418,20160704,0.0024899724
3872515,2978,20160704,0.18757325
2699011,13602,20160705,0.04645838
5406214,3903,20160722,0.0013583958
5406214,2440,20160722,0.0013583958
3359491,10418,20160725,0.0052701035
4147459,5743,20160715,0.00021562682
5427718,4912,20160704,0.26529253
5427718,662,20160704,0.11157082
5427718,1528,20160704,0.09743057
2848003,13602,20160702,0.07264045
2726659,10842,20160724,0.000108907705
3649795,2978,20160723,0.86316514
3649795,10418,20160701,0.0030288745
2612995,9983,20160703,0.00136574
3808003,9983,20160721,0.0023875206
3812611,3992,20160721,0.00046962654
3425539,3992,20160719,3.0765565e-05
6853126,13181,20160721,0.0011088517
4251142,10609,20160707,0.004252186
3442435,13602,20160713,0.030084025
3182851,11986,20160731,0.00019851196
7175686,7774,20160706,0.08945722
7175686,9983,20160717,0.00085754716
3199747,8059,20160712,0.00047924905
3199747,3429,20160718,0.2036103
6140422,6480,20160728,1.0007441e-06
4001029,13602,20160704,0.009186699
3873541,2978,20160718,0.6579305
4603402,5482,20160723,0.057902206
6443530,13602,20160722,0.1111011
3627781,10418,20160713,0.009406252
4913674,8059,20160712,0.0011055234
3506437,13602,20160719,0.15857513
2196229,6614,20160717,0.011723764
2329861,13849,20160724,0.114728086
3514117,9967,20160706,5.617002e-05
5733898,13183,20160705,0.0971496
2480389,2978,20160703,0.52114975
3928837,1904,20160722,0.00052937504
3017989,13602,20160730,0.2284974
3017989,9983,20160704,0.0009868813
5776906,13602,20160706,0.013709102
6332938,13602,20160724,0.5201655
5568010,8596,20160722,1.8335456e-06
5568010,8596,20160722,1.8335456e-06
2398981,13602,20160722,0.09414061
3208453,10418,20160713,0.0015571195
7205386,13602,20160729,0.51537025
4866574,13602,20160723,0.084588796
4866574,9983,20160725,0.00046840197
5394958,2601,20160712,0.00061634654
6445582,13602,20160713,0.0278902
3748615,13602,20160709,0.017738068
3748615,11184,20160703,0.002438074
5941774,9983,20160711,0.009285184
2842375,3429,20160725,0.0015340297
2324743,10418,20160701,0.0033129815
6491662,4654,20160717,0.005703679
3644167,11463,20160710,0.002057267
3644167,11463,20160706,0.005815283
3644167,11463,20160708,0.003696332
3644167,11463,20160711,0.0040881997
3644167,11463,20160713,0.0025204076
2862343,3004,20160712,0.25187004
2862343,2070,20160721,0.028544515
2862343,7821,20160721,0.19094163
2862343,14,20160731,0.049672533
4676110,9983,20160727,6.052966e-05
3135751,3992,20160724,0.000118452255
4054279,9983,20160729,0.000468119
4192519,13602,20160723,0.10808331
2363143,3780,20160703,0.00030605894
2363143,13161,20160703,0.00043317207
2363143,2978,20160724,0.8879228
2363143,10438,20160729,6.87314e-05
3025159,9983,20160703,0.0012063588
3025159,10438,20160701,0.0015522637
3025159,13602,20160725,0.09900478
6574606,8059,20160729,0.0006236388
2771719,13602,20160728,0.1773316
2513671,9983,20160723,0.00961607
7136782,13602,20160714,0.03287892
3568903,8596,20160722,8.901401e-05
5047822,13602,20160722,0.12077996
3704071,10110,20160716,0.015792267
3704071,10110,20160707,0.98960006
3183367,4132,20160723,1.5051599e-08
4276750,13602,20160726,0.43841586
6402574,9983,20160704,0.0014224701
6402574,10418,20160706,0.00078316784
6408718,13602,20160724,0.41650137
4587022,8059,20160717,0.00029876034
4587022,9983,20160717,0.014616852
3212041,13602,20160715,0.04132941
5903890,13602,20160724,0.5386861
4598290,1904,20160709,0.003908596
3093769,8306,20160728,0.001603097
3093769,8059,20160728,0.0009151079
3093769,9983,20160716,0.0009373655
3093769,8306,20160728,0.001603097
4370962,8059,20160722,0.0013255274
6208018,2920,20160729,0.0023722553
2189065,2096,20160715,0.078857824
4029193,13602,20160703,0.011432757
3119881,493,20160721,0.020967681
3910921,9983,20160712,0.00032395343
3910921,13602,20160711,0.021875182
6773266,2096,20160717,0.026657121
4948498,2978,20160725,0.81631565
2347273,13602,20160725,0.11755312
4190473,10284,20160720,0.0014377288
3536137,13602,20160728,0.20586574
2358025,13602,20160703,0.010799096
3930889,10438,20160729,0.0005322362
3930889,13602,20160704,0.009699166
3930889,2893,20160724,0.0039415145
3930889,2893,20160726,2.4434883e-05
4066057,5702,20160716,7.3793566e-10
4066057,13602,20160724,0.67912257
4066057,5702,20160723,5.50701e-12
4066057,5702,20160709,3.870585e-10
4070665,10418,20160715,0.0031936672
3024649,3992,20160709,0.00036964388
6862354,13602,20160731,0.5428953
6078994,10438,20160716,0.00017011182
3310345,10438,20160731,0.0006902592
6112786,13602,20160714,0.034905184
2930953,2978,20160724,0.8962205
6939154,10418,20160727,0.0174773
6939154,2978,20160727,0.9039987
3208969,3985,20160724,0.81063795
3208969,11876,20160724,0.006191012
2296075,13602,20160728,0.47118872
2173195,2601,20160703,0.00061643467
5948950,10418,20160720,0.00917513
2723083,4277,20160724,3.1317755e-05
4177675,9983,20160721,0.0065094517
4177675,13602,20160719,0.32476643
6790678,13602,20160723,0.10319025
3531019,8059,20160717,0.00016654428
7343638,8059,20160704,0.00012719091
3021067,13320,20160722,0.09181039
2773771,4727,20160725,0.032512605
4286998,13602,20160711,0.020738393
6385174,9983,20160712,0.00039621737
2933515,9983,20160703,0.0009883398
2933515,13602,20160702,0.007402632
6925846,13602,20160714,0.034905184
6925846,9983,20160721,0.00015276672
5617174,5785,20160725,0.00077343395
6667798,9983,20160710,0.022915479
6667798,8499,20160725,0.91319823
